id|matchNo|teamNo|autoCrossLineTry|autoCrossLineSuccess|autoBoxToSwitchTry|autoBoxToSwitchCount|autoBoxToWrongSwitchTry|autoBoxToWrongSwitchCount|autoBoxToScaleTry|autoBoxToScaleCount|autoBoxToWrongScaleTry|autoBoxToWrongScaleCount|autoEndWithNewCube|teleBoxToSwitchCount|teleBoxToScaleCount|teleBoxToOpponentSwitchCount|teleBoxToExchangeCount|teleDroppedBoxCount|teleDefenseType|tippedBot|deadBot|recoveredTippedBot|recoveredDeadBot|penaltyStandardFoul|penaltyTechnicalFoul|penaltyYellowCard|penaltyRedCard|endParked|endClimbedType|endClimbedRampSingle|endClimbedRampDouble|endClimbedExtendBar|endCubeAttainment|endScoringAbility|postComments
54|9|1806||1|1|||||||||5|2||1||Didn't try|||||||||1|Didn't Try||||Ground|medium scale|This robot is kind of snazzy
102|17|1806||1||1||||||||8|0||1||Didn't try|||||||||1|Failed||||Ground|switch|Robot did all the things . Failed a climb, also caught fire
136|23|1806||1||1||||||||4|4||2||Didn't try||||||||||Center||||Ground|high scale|Auton improving, 100% less fire this match
16|3|4933||||||||||||2|0||2||<30s||||||||||Didn't Try||||Ground|switch|
84|14|4933|1|||||||||||1|0|2|||30-60s|||||||||1|Didn't Try||||Ground|switch|
150|25|4933||1||||||||||0|1|||3|>60s|||||||||1|Didn't Try||||Ground|low scale|
30|5|5212||||||||||||2|||1|3|Didn't try|||||||||1|Didn't Try||||Ground|switch|
102|17|5212||||||||||||1||1|1|4|Didn't try||||||||||Used Ramp||||Ground|switch|
144|24|5212||||||||||||0||1|2|3|Didn't try|||||||||1|Didn't Try||||Ground|switch|
60|10|31||1||1||||||||1|2||||Didn't try|||||||||1|Didn't Try||||All of the above|low scale|
90|15|31||1||1|||||||||3||||Didn't try||||||||||Side||||All of the above|high scale|
132|22|31||1||1|||1||||1|2|2||||Didn't try||||||||||Side||||All of the above|high scale|
36|6|2461|||||||||||||||2||Didn't try|||||||||1|Failed|1|||Ground|exchange|No box manipulator, ramp collapsed
114|19|2461|1||||||||||||||1||Didn't try|||||1|1||||Failed||1||Ground|exchange|Ramp deployed prematurely into opponent null territory and hit opponent robot
162|27|2461|1||||||||||||||4||Didn't try||||||||||Didn't Try||1||Ground|exchange|Pushing cubes around with the bumpers
48|8|2354||1|||1|||||||2||0|0||Didn't try||1||1|||1|||Didn't Try||||exchange/portal|switch|Technician coaching
78|13|2354||1||1||||||||0||4|1|1|Didn't try|||||||||1|Didn't Try||||exchange/portal|exchange|
156|26|2354||1||||1||||||0||4|||Didn't try||||||||||Didn't Try||||exchange/portal|switch|
