id|match|team|autoCrossLineTry|autoCrossLineSuccess|autoBoxToSwitchTry|autoBoxToSwitchCount|autoBoxToWrongSwitchTry|autoBoxToWrongSwitchCount|autoBoxToScaleTry|autoBoxToScaleCount|autoBoxToWrongScaleTry|autoBoxToWrongScaleCount|autoBoxPickupTry|autoBoxPickupCount|teleBoxToSwitchCount|teleBoxToScaleCount|teleReclaimScaleCount|teleBoxToOpponentSwitchCount|teleBoxToExchangeCount|teleDroppedBoxCount|teleDefenseBlockCount|tippedBot|deadBot|recoveredBot|penaltyStandardFoulCount|penaltyTechnicalFoulCount|penaltyYellowCardCount|penaltyRedCard|endParked|endClimbedCenter|endClimbedSide|endClimbedRamp|endDeployRampTry|endDeployRamp|postCommentsPro|postCommentsCon
54|9|1806||1|1||||||||||5|2|||1||||||||||1||||||This robot is kind of snazzy|
102|17|1806||1||1|||||||||8|0|||1||||||||||1||||||Robot did all the things|"Failed a climb, also caught fire"
136|23|1806||1||1|||||||1||4|4|||2|||||||||||1|||||Auton improving, 100% less fire this match
16|3|4933|||||||||||||2|0|||2|||||||||||||||||
84|14|4933|1||||||||||||1|0||2|||||||||||1|||||||
150|25|4933||1|||||||||||0|1||||3|||||||||1|||||||
30|5|5212|||||||||||||2||||1|3|||||||||1|||||||
102|17|5212|||||||||||||1|||1|1|4||||||||||||||||
144|24|5212|||||||||||||0|||1|2|3|||||||||1|||||||
60|10|31||1||1|||||||||1|2|||||||||||||1|||||||
90|15|31||1||1||||||||||3||||||||||||||1||||||
132|22|31||1||1|||1|||||1|2|2||||||||||||||1||||||
36|6|2461|||||||||||||||||2||||||||||1||||1|||"No box manipulator, ramp collapsed"
114|19|2461|1||||||||||||||||1||||||1|1|||||||1|||Ramp deployed prematurely into opponent null territory and hit opponent robot
162|27|2461|1||||||||||||||||4|||||||||||||||1||
48|8|2354||1|||1||||||||2|||0|0||||1|1|||1|||||||||Technician coaching
78|13|2354||1||1|||||||||0|||4|1|1|||||||||1|||||||
156|26|2354||1||||1|||||||0|||4||||||||||||||||||
