id|matchNo|teamNo|autoCrossLineTry|autoCrossLineSuccess|autoBoxToSwitchTry|autoBoxToSwitchCount|autoBoxToWrongSwitchTry|autoBoxToWrongSwitchCount|autoBoxToScaleTry|autoBoxToScaleCount|autoBoxToWrongScaleTry|autoBoxToWrongScaleCount|autoEndWithNewCube|teleBoxToSwitchCount|teleBoxToScaleCount|teleBoxToOpponentSwitchCount|teleBoxToExchangeCount|teleDroppedBoxCount|teleDefenseType|tippedBot|deadBot|recoveredTippedBot|recoveredDeadBot|penaltyStandardFoul|penaltyTechnicalFoul|penaltyYellowCard|penaltyRedCard|endParked|endClimbedType|endClimbedRampSingle|endClimbedRampDouble|endClimbedExtendBar|endCubeAttainment|endScoringAbility|postComments
1|"1"|"5918"|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|1|"Did Not"|0|0|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on switch"|""
2|"1"|"2167"|1|0|0|0|0|0|0|0|0|0|0|2|0|3|0|1|"less than 30 secs"|0|0|0|0|0|0|0|0|0|"Side"|0|0|0|"Received cubes from "|"Can score on switch"|"Fast, siimple"
3|"1"|"1982"|0|0|0|0|0|0|0|0|0|0|0|4|1|2|0|0|"Did Not"|0|0|0|0|0|0|0|0|1|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on medium "|""
4|"1"|"1806"|0|0|0|0|0|0|0|0|0|0|0|1|0|0|6|0|"Did Not"|0|0|0|0|0|0|0|0|1|"Center"|0|0|0|"Picked up cubes from"|"Can score on low sca"|""
5|"1"|"2353"|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|"Did Not"|0|0|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on switch"|"Many attemts on switch"
6|"1"|"2001"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"Did Not"|0|0|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Did not use cubes"|"Can not/did not use "|"did nothing"
7|"6"|"1785"|1|1|0|0|0|0|0|0|0|0|0|2|0|0|0|1|"Did Not"|0|0|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Did not use cubes"|"Can not/did not use "|"It lives"
8|"6"|"1723"|0|0|0|1|0|0|0|0|0|0|1|1|0|0|6|0|"Did Not"|0|0|0|0|0|0|0|0|0|"Attempt"|0|0|0|"Picked up cubes from"|"Can score on switch"|"ver"
9|"7"|"5268"|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|"Did Not"|0|0|0|0|0|0|0|0|1|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on exchang"|""
10|"7"|"3184"|1|1|1|0|0|0|0|0|0|0|0|1|0|0|0|2|"Did Not"|0|0|0|0|0|0|0|0|1|"Attempt"|0|0|0|"Picked up cubes from"|"Can score on medium "|""
11|"7"|"1847"|1|0|0|0|0|0|0|0|0|0|0|1|0|0|1|1|"Did Not"|0|0|0|0|0|0|0|0|1|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on low sca"|""
12|"8"|"4499"|0|1|0|1|0|0|0|0|0|0|0|2|0|0|2|1|"less than 30 secs"|0|0|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on switch"|""
13|"8"|"1810"|1|1|0|0|0|0|0|0|0|0|0|1|2|0|0|1|"less than 30 secs"|0|0|0|0|0|0|0|0|0|"Attempt"|0|0|1|"Picked up cubes from"|"Can score on high sc"|"Solid all around"
14|"8"|"5809"|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"more than 1 min"|0|0|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Did not use cubes"|"Can not/did not use "|""
15|"8"|"4388"|0|1|0|0|0|0|0|0|0|0|0|2|5|0|0|0|"Did Not"|0|0|0|0|0|0|0|0|0|"Side"|0|0|0|"Picked up cubes from"|"Can score on high sc"|"10  second rotation for scale"
16|"8"|"4786"|1|1|0|0|0|0|0|0|0|0|0|0|0|0|4|0|"Did not"|0|0|0|0|1|0|0|0|1|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on exchang"|""
17|"8"|"2167"|1|1|0|0|0|0|0|0|0|0|1|0|0|0|0|2|"less than 30 secs"|0|0|0|0|1|0|0|0|1|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on switch"|""
18|"9"|"1982"|1|0|0|0|0|0|0|0|0|0|0|0|0|0|4|0|"Did not"|0|0|0|0|0|0|0|0|1|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on exchang"|""
19|"9"|"1984"|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"Did not"|0|0|0|0|0|0|0|0|1|"Did not Try"|0|0|0|"Did not use cubes"|"Can not/did not use "|"I didnt pay attention"
20|"9"|"2457"|1|0|1|0|0|0|0|0|0|0|0|0|1|0|0|2|"Did not"|0|0|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on high sc"|""
